EVENT_HASH,TIMESTAMP,SOURCE_IP,LOCATION,SERVICE_ID,LLM_PROVIDER,LLM_MODEL_ID,LLM_PROMPT,LLM_TOTAL_TOKENS,LLM_COST_USD,LLM_RESPONSE_TIME_MS,HTTP_STATUS_CODE,ANOMALY_SCORE,LABEL,HEADERS_CONTENT_TYPE,LLM_PROMPT_CATEGORY,LLM_STATUS
4eadcf438dfd5d46f640bdd3618de24c2a32ecc9fa078cd4b164b062e52b35ab,2026-05-04 09:59:58,Unknown,USA | East,,Mistral,mistral-7b-instruct,Compare the accuracy and latency of available LLM models for the sap-s4hana-finance use case in USA | East.,2158,0.000539,3152,0,,,text/plain,LLM Operations,success
ff3fedf4c5c9066fa303f88c5fa6100745d8dc875714f0150229d75338f411bb,2026-05-04 09:59:57,Unknown,Turkey | Lenovo CE (Primary),,Mistral,mistral-small-4,Audit context window usage for sap-fiori-launchpad LLM calls and recommend chunking strategies to reduce truncation.,3170,0.000951,8855,0,,,multipart/form-data,LLM Operations,success
edef5682648a22e2c87b88b267e60bfd78ed17f41f5d550ece00f94238554ac0,2026-05-04 09:59:57,Unknown,South Africa | Johannesburg (2),,OpenAI,gpt-4,Perform a cohort analysis of sap-s4hana-sales users in South Africa | Johannesburg (2) who onboarded in Q3.,1571,0.04713,34859,0,,,text/plain,Analytics,timeout
8ebac03701812155a4c26c884bddd4d0dd832a8ea97ebefef30defc0befd6fa1,2026-05-04 09:59:55,Unknown,India | Delhi,,Google,gemini-1.5-pro,Benchmark compensation for sap-concur roles in India | Delhi against current market data.,2003,0.014021,8365,0,,,application/x-www-form-urlencoded,HR,success
083d86d62e156e0ac25574a506d120dbfabaa68897daa0cacf274cf2f70e5334,2026-05-04 09:59:54,Unknown,USA | Washington DC,,Anthropic,claude-3-5-sonnet,Create a corrective action plan for overdue invoices in sap-fiori-launchpad.,1987,0.005961,7648,0,,,multipart/form-data,Finance,success
1f69fddde69ac9837a7bb3f7764caa5dd1ab8cdcd81704c856cc197c38155cc2,2026-05-04 09:59:54,Unknown,Norway | Oslo,,OpenAI,gpt-5.4-pro,Audit context window usage for sap-ariba LLM calls and recommend chunking strategies to reduce truncation.,2558,0.10232,14948,0,,,application/xml,LLM Operations,success
9ef4687ddbe1b9f775bec643d71ed8f43b2cf70ab04c1b812785be9a3a6a4ff5,2026-05-04 09:59:54,Unknown,Finland | Hamina,,OpenAI,gpt-5.4-pro,Rewrite the following message about sap-fiori-launchpad to be clearer and more concise.,1770,0.0708,3299,0,,,application/json,Productivity,success
260df4a4fa46ca622e0a886d4d25ea50e356bca59dc915e54b2c0ac69f2e83d7,2026-05-04 09:59:54,Unknown,Japan | Tokyo,,Anthropic,claude-3-sonnet,Provide a demand forecast for sap-analytics-cloud products in Japan | Tokyo for the next quarter.,2136,0.006408,34577,0,,,text/plain,Supply Chain,timeout
e3bc003937d292feccb9cf56b62cda086bc6b3592e6fa01a1621159ae5eee3f3,2026-05-04 09:59:54,Unknown,Turkey | Lenovo CE (Primary),,OpenAI,gpt-4o-mini,"Draft a project charter for the sap-intelligent-rpa initiative in Turkey | Lenovo CE (Primary) including scope, objectives, stakeholders, and success criteria.",1680,0.000252,9092,0,,,application/json,Productivity,success
8c096c09c4a789257ad037afd692f37b443293c5cb0a4269c7c6413cdcc978d5,2026-05-04 09:59:51,Unknown,Austria | Vienna (2),,Google,gemini-1.5-flash-8b,Perform a compliance gap analysis for sap-btp-cf against the latest Austria | Vienna (2) data privacy regulations.,1766,0.000132,7832,0,,,text/plain,Compliance,success
12d826cba86011aa61f79bc38df21e8dcde1e4537e2e4f0c47704c0ab4a7b9e0,2026-05-04 09:59:51,Unknown,India | Hyderabad,,Google,gemini-3.1-pro,Query SAP Joule for the latest master data record of vendor TitanSupplies in sap-btp-cf.,1821,0.014568,2963,0,,,application/x-www-form-urlencoded,SAP Joule,success
